32131,+29.6778633,-081.5637224
32148,+29.6011586,-081.8829205
32222,+30.2089185,-081.8310126
32060,+30.2744133,-083.0363291
32066,+30.0397635,-083.2058056
32080,+29.8169850,-081.2651225
32092,+29.9292525,-081.5219038
32094,+30.1869431,-082.8218201
32205,+30.3024539,-081.7230428
32331,+30.4547445,-083.5777694
32430,+30.4186961,-085.2255961
32565,+30.8943800,-087.1454537
32656,+29.8271068,-081.9451680
32683,+29.2742371,-082.7695195
32764,+28.8366682,-081.0630650
32831,+28.4865372,-081.1464047
32926,+28.3829012,-080.8193124
33021,+26.0231296,-080.1865392
33070,+25.0110301,-080.5293130
33162,+25.9286180,-080.1792113
33314,+26.0678900,-080.2241599
33470,+26.7838609,-080.3809676
33527,+27.9737491,-082.2128059
33584,+28.0054554,-082.2943370
33634,+28.0098262,-082.5477891
33705,+27.7339699,-082.6403141
33850,+28.1247068,-081.7310983
32328,+29.8004305,-084.8968253
32333,+30.6077428,-084.4175917
32343,+30.4783314,-084.5046888
32456,+29.8145415,-085.3064233
32459,+30.3605770,-086.1855912
32566,+30.4253015,-086.8923457
32618,+29.5397561,-082.5214921
32725,+28.8861891,-081.2514166
32765,+28.6651120,-081.1962902
32778,+28.7734576,-081.7301921
32953,+28.4635133,-080.6877314
33142,+25.8063099,-080.2554091
33187,+25.5274305,-080.5998259
33305,+26.1534458,-080.1226268
33316,+26.1015664,-080.1209554
33327,+26.2260294,-080.3676066
33415,+26.6602051,-080.1265734
33461,+26.6185821,-080.0932157
33572,+27.7661681,-082.4002848
33755,+27.9798677,-082.7827442
33770,+27.9151095,-082.8040263
33771,+27.9058361,-082.7587738
33852,+27.2587025,-081.3781129
33952,+26.9861335,-082.0970420
33867,+27.7810878,-081.2020396
34102,+26.1374980,-081.7991051
34110,+26.3032840,-081.7881710
34239,+27.3108926,-082.5211675
34453,+28.8958244,-082.3295344
34669,+28.3560249,-082.6101672
34695,+28.0081605,-082.6883666
34739,+27.9329624,-081.0988487
34761,+28.5785766,-081.5341159
32046,+30.7011516,-081.9165867
32053,+30.5688403,-083.1518700
32055,+30.2701029,-082.6241301
32061,+30.0830852,-082.5166551
32112,+29.4317459,-081.5655725
32137,+29.5756876,-081.2238320
32190,+29.3376878,-081.4926434
32218,+30.4878417,-081.6676927
32348,+29.9424169,-083.5569256
32427,+30.7104869,-085.7923094
32505,+30.4546236,-087.2606497
32563,+30.3908515,-087.0247850
32583,+30.6048820,-086.9721787
32680,+29.5749114,-083.0744059
33955,+26.8164330,-081.9938081
34112,+26.1214221,-081.7390301
34211,+27.4543652,-082.3833830
34235,+27.3694161,-082.4768199
34449,+29.1069724,-082.6905397
34601,+28.5884499,-082.3713372
34691,+28.1925768,-082.7704209
34981,+27.3932783,-080.3720540
32008,+29.9079199,-082.8974653
32011,+30.5697781,-081.8405000
32034,+30.6017942,-081.4817987
32038,+29.9349359,-082.6922335
32110,+29.4447083,-081.3523154
32128,+29.1007387,-081.0718287
32174,+29.2921915,-081.1614463
32208,+30.3930897,-081.6829461
32310,+30.4330379,-084.3918455
32336,+30.2630566,-083.8654990
32423,+30.9437771,-085.0489094
32443,+30.8725211,-085.1094200
32460,+30.7640890,-084.9542335
32539,+30.7789986,-086.4771694
32619,+29.7560308,-082.8682505
32701,+28.6656239,-081.3703557
32714,+28.6624875,-081.4116070
